dossier	nomenclature	libelle	colonnes	colonne_code	colonne_libelle	taille_ko	valeurs_embarquees
ORAVAL	IR_TYR_V	Type de Remboursement	PRS_REM_TYP,REM_TYP_LIB,TEC_COL	PRS_REM_TYP	REM_TYP_LIB	0	oui
ORAVAL	IR_TYT_V	Type de Transmetteur	TYT_COD,TYT_LIB,TEC_COL	TYT_COD	TYT_LIB	0	oui
ORAVAL	IR_TYV_V	Type de Ventilation	CPT_VEN_TYP,VEN_TYP_LIB,TEC_COL	CPT_VEN_TYP	VEN_TYP_LIB	0	oui
ORAVAL	IR_UCD_V	Unité Commune de Dispensation	UCD_COD,APP_DTE,UCD_TTC_MNT	UCD_COD		46	oui
ORAVAL	IR_URC_V	URCAM / ARH ( région )	URC_ARH_COD,URC_LIB,ARH_LIB,TEC_COL	URC_ARH_COD	URC_LIB	1	oui
ORAVAL	IR_VIT_V	indicateur de forçage Sesam Vitale	IND_FOR,IND_FOR_LIB,TEC_COL	IND_FOR	IND_FOR_LIB	0	oui
ORAVAL	IR_ZCN_V		GEO_COM_COD,GEO_DPT_COD,GEN_ZCN_COD,INF_ZCN_COD,KIN_ZCN_COD,DEN_ZCN_COD,ORH_ZCN_COD,SGF_ZCN_COD	GEO_COM_COD	DEN_ZCN_COD	3696	non
ORAVAL	IR_ZTP_V	Zone Tarif PS	PSP_ZTP_COD,PFS_ZTP_LIB,TEC_COL	PSP_ZTP_COD	PFS_ZTP_LIB	0	oui
ORAVAL	MS_ACT_V	code Acte	RBC_COD_ACT,RBC_LIB_ACT,TEC_COL	RBC_COD_ACT	RBC_LIB_ACT	26	oui
ORAVAL	MS_AFP_V		AFP_CTL_COD,AFP_CTL_LIB,TEC_COL	AFP_CTL_COD	AFP_CTL_LIB	0	oui
ORAVAL	MS_AHP_V		AHP_CTL_COD,AHP_CTL_LIB,TEC_COL	AHP_CTL_COD	AHP_CTL_LIB	0	oui
ORAVAL	MS_ASN_V	Nature d'assurance PMSI	ASN_COD,ASN_LIB,TEC_COL	ASN_COD	ASN_LIB	0	oui
ORAVAL	MS_ATV_V	Activité de l'acte	COD_ATV,ATV_LIB,TEC_COL	COD_ATV	ATV_LIB	0	oui
ORAVAL	MS_AUT_V	Type d'UM autorisé	AUT_COD,AUT_LIB,TEC_COL	AUT_COD	AUT_LIB	0	oui
ORAVAL	MS_CAD_V		CAD_CTL_COD,CAD_CTL_LIB,TEC_COL	CAD_CTL_COD	CAD_CTL_LIB	0	oui
ORAVAL	MS_CDM_V	Nomenclature CDAM (Actes Hospitaliers)	CDM_COD,CDM_LIB,TEC_COL	CDM_COD	CDM_LIB	907	non
ORAVAL	MS_CIM_V	Codes Diagnostics (CIM10) pour le PMSI (limite à 20 000 lignes) ( MAJ à contrôler )	CIM_COD,CIM_LIC,CIM_LIL,MVT_DTE,MVT_ORI,MVT_TYP,CIM_LIC_OLD,TEC_COL	CIM_COD	CIM_LIL	2185	non
ORAVAL	MS_CIV_V	Code Civilité	CIV_COD,CIV_LIB,TEC_COL	CIV_COD	CIV_LIB	0	oui
ORAVAL	MS_CSS_V		CSS_CTL_COD,CSS_CTL_LIB,TEC_COL	CSS_CTL_COD	CSS_CTL_LIB	0	oui
ORAVAL	MS_CSX_V	Controle du Sexe	CSX_CTL_COD,CSX_CTL_LIB,TEC_COL	CSX_CTL_COD	CSX_CTL_LIB	0	oui
ORAVAL	MS_DST_V	Destination	DST_COD,DST_LIB,TEC_COL	DST_COD	DST_LIB	0	oui
ORAVAL	MS_DTN_V		DTN_CTL_COD,DTN_CTL_LIB,TEC_COL	DTN_CTL_COD	DTN_CTL_LIB	0	oui
ORAVAL	MS_ENR_V	Type d'enregistrement	ENR_COD,ENR_LIB,TEC_COL	ENR_COD	ENR_LIB	0	oui
ORAVAL	MS_ENT_ENR_C	Compatibilité mode d Entrée du champ - type d Enregistrement	ENT_TYP,ENR_COD	ENR_COD		0	oui
ORAVAL	MS_ENT_PRV_C	Compatibilité mode d Entree du champ -  Provenance	ENT_MOD_COD,PRV_COD	ENT_MOD_COD		0	oui
ORAVAL	MS_ENT_V	Mode d'entree du champ PMSI_MCO	ENT_MOD_COD,ENT_MOD_LIB,TEC_COL	ENT_MOD_COD	ENT_MOD_LIB	0	oui
ORAVAL	MS_FFT_V	Forfait Dialyse	FFT_COD,FFT_LIB,TEC_COL	FFT_COD	FFT_LIB	0	oui
ORAVAL	MS_FMT_V	Type de format RSF (Ancien / Nouveau)	FMT_COD,FMT_LIB,TEC_COL	FMT_COD	FMT_LIB	0	oui
ORAVAL	MS_GM7_V	Groupe Homogene de Malade (GHM) V7	GM7_GHM_COD,CMD_COD,GHM_LIB,TEC_COL	GM7_GHM_COD	GHM_LIB	50	non
ORAVAL	MS_GM9_V	Groupe Homogene de Malade (GHM) V9	GM9_GHM_COD,CMD_COD,GHM_LIB,TEC_COL	GM9_GHM_COD	GHM_LIB	68	non
ORAVAL	MS_JTM_V	Justification de l'exonération du TM	EXO_JTM_COD,EXO_JTM_LIB,TEC_COL	EXO_JTM_COD	EXO_JTM_LIB	0	oui
ORAVAL	MS_LDD_V	Passage dans un lit dédié aux soins Palliatifs	LDD_COD,LDD_LIB,TEC_COL	LDD_COD	LDD_LIB	0	oui
ORAVAL	MS_NFS_V	Nature d'interruption ou de fin de séjour	NFS_COD,NFS_LIB,TEC_COL	NFS_COD	NFS_LIB	0	oui
ORAVAL	MS_OPE_V	Nature d'opération	OPE_COD,OPE_LIB,TEC_COL	OPE_COD	OPE_LIB	0	oui
ORAVAL	MS_PDP_V	Position du Diagnostic Principal	PDP_COD,PDP_LIB,TEC_COL	PDP_COD	PDP_LIB	4	oui
ORAVAL	MS_PEC_V	Code de prise en charge	COD_PEC,PEC_LIB,TEC_COL	COD_PEC	PEC_LIB	0	oui
ORAVAL	MS_PHA_V	Phase de l'acte CCAM	COD_PHA,PHA_LIB,TEC_COL	COD_PHA	PHA_LIB	0	oui
ORAVAL	MS_PPO_V	Type de Prestation de Prélèvement d'Organes	PPO_COD,PPO_LIB,TEC_COL	PPO_COD	PPO_LIB	0	oui
ORAVAL	MS_PRV_V	Provenance	PRV_COD,PRV_LIB,TEC_COL	PRV_COD	PRV_LIB	0	oui
ORAVAL	MS_REC_V	Nature opération de récupération	REC_OPE_NAT,REC_OPE_LIB,TEC_COL	REC_OPE_NAT	REC_OPE_LIB	0	oui
ORAVAL	MS_RES_V	Code géographique de résidence	COD_RES,RES_LIB,TEC_COL	COD_RES	RES_LIB	133	non
ORAVAL	MS_RT7_V	Resultat du groupage (version de groupage_CMD_GHM_Code retour) RT7	RET_COD,RET_LIB,TEC_COL	RET_COD	RET_LIB	4	oui
ORAVAL	MS_RT9_V	Resultat du groupage (version de groupage_CMD_GHM_Code retour) RT9	RET_COD,RET_LIB,TEC_COL	RET_COD	RET_LIB	5	oui
ORAVAL	MS_SEJ_V	Type de sejour	SEJ_TYP_COD,SEJ_TYP_LIB,TEC_COL	SEJ_TYP_COD	SEJ_TYP_LIB	0	oui
ORAVAL	MS_SOR_DST_C	Compatibilité mode de Sortie du champ - Destination	SOR_MOD_COD,DST_COD	SOR_MOD_COD		0	oui
ORAVAL	MS_SOR_V	Mode de Sortie du Champ PMSI_MCO	SOR_MOD_COD,SOR_MOD_LIB,TEC_COL	SOR_MOD_COD	SOR_MOD_LIB	0	oui
ORAVAL	MS_TAA_V	Table des Types d'activités autorisées	ACT_AUT_TYP,ACT_AUT_LIB,TEC_COL	ACT_AUT_TYP	ACT_AUT_LIB	0	oui
ORAVAL	MS_TAL_V	Type d'autorisation de lit dédié fréquenté par le patient	TAL_COD,TAL_LIB,TEC_COL	TAL_COD	TAL_LIB	0	oui
ORAVAL	MS_TCH_V	Top ( oui / non )	TOP_COD,TOP_LIB,TEC_COL	TOP_COD	TOP_LIB	0	oui
ORAVAL	MS_TOP_V	Top Numérique ( oui / non )	TOP_NUM_COD,TOP_LIB,TEC_COL	TOP_NUM_COD	TOP_LIB	0	oui
ORAVAL	MS_VLP_V	Code Valorisation partielle	VLP_COD,VLP_LIB,TEC_COL	VLP_COD	VLP_LIB	0	oui
ORAVAL	ON_CLE_W		RGM_GRG_COD,PRS_NAT,REM_ANN_MOI,REM_CLE	RGM_GRG_COD		6600	non
ORAVAL	ON_SDV_W	invite BO soins de ville Fusion	INV_SDV_COD,GRG_COD,URC_ARH_COD,ORG_CAI_NUM,ORG_BSE_NUM,COL_TRI,COL_COM,INV_SDV_LIB	INV_SDV_COD	INV_SDV_LIB	12	oui
ORAVAL	PX_APP_V	applications	APP_APP_COD,APP_APP_LIB,TEC_COL	APP_APP_COD	APP_APP_LIB	0	oui
ORAVAL	PX_CAT_V	catégories télé-service	CAT_TLS_COD,CAT_TLS_LIB,TEC_COL	CAT_TLS_COD	CAT_TLS_LIB	0	oui
ORAVAL	PX_DRS_V	table d'association entre les Caisses et les DRSM	CAI_COD,DRS_COD,DRS_LIB,TEC_COL	CAI_COD	DRS_LIB	3	oui
ORAVAL	PX_ETA_V	codes catégories télé-service par établissement	CAT_PSH_COD,CAT_PSH_LIB,CAT_TLS_COD,TEC_COL	CAT_PSH_COD	CAT_PSH_LIB	12	oui
ORAVAL	PX_FCT_V	fonctionnalités	APP_APP_COD,TLS_EVT_COD,INF_002,INF_003,TLS_DAT_VAL,FCT_COD,TEC_COL	APP_APP_COD	INF_002	27	oui
