categorie;table;libelle;chemin
"PMSI";"T_HADAAGJ";"";"Kwikly/PMSI/T_HADAAGJ.html"
"PMSI";"T_HADAAGRE";"HAD GHT établissements";"Kwikly/PMSI/T_HADAAGRE.html"
"PMSI";"T_HADAAGRP";"HAD GHT et GHPC";"Kwikly/PMSI/T_HADAAGRP.html"
"PMSI";"T_HADAALEG";"HAD LEG";"Kwikly/PMSI/T_HADAALEG.html"
"PMSI";"T_HADAAMED";"HAD Molécules onéreuses";"Kwikly/PMSI/T_HADAAMED.html"
"PMSI";"T_HADAAMEDAPAC";"HAD Molécules onéreuses APAC";"Kwikly/PMSI/T_HADAAMEDAPAC.html"
"PMSI";"T_HADAAMEDATU";"";"Kwikly/PMSI/T_HADAAMEDATU.html"
"PMSI";"T_HADAAMEDCHL";"HAD Medoc couteux hors liste en sus et hors ATU";"Kwikly/PMSI/T_HADAAMEDCHL.html"
"PMSI";"T_HADAAMON";"";"Kwikly/PMSI/T_HADAAMON.html"
"PMSI";"T_HADAAS";"HAD SRAPSS Synthese Résume Anonyme Par Sous Séquence";"Kwikly/PMSI/T_HADAAS.html"
"PMSI";"T_HADAASTC";"HAD données relatives à la pec par l'AM de chaque séjour pour les étab";"Kwikly/PMSI/T_HADAASTC.html"
"PMSI";"T_HADAASUP_DSC";"HAD Tests diagnostiques Covid";"Kwikly/PMSI/T_HADAASUP_DSC.html"
"PMSI";"T_HADAASUP_PREADMI";"HAD Diagnostics Associés mode de prise en charge associé2";"Kwikly/PMSI/T_HADAASUP_PREADMI.html"
"PMSI";"T_HADAAVALO";"HAD Valorisation";"Kwikly/PMSI/T_HADAAVALO.html"
"PMSI";"T_MCOAAA";"MCO Actes";"Kwikly/PMSI/T_MCOAAA.html"
"PMSI";"T_MCOAAB";"MCO Séjours";"Kwikly/PMSI/T_MCOAAB.html"
"PMSI";"T_MCOAABPHN";"";"Kwikly/PMSI/T_MCOAABPHN.html"
"PMSI";"T_MCOAABPHNA";"";"Kwikly/PMSI/T_MCOAABPHNA.html"
"PMSI";"T_MCOAABPHNC";"";"Kwikly/PMSI/T_MCOAABPHNC.html"
"PMSI";"T_MCOAABPHNP";"";"Kwikly/PMSI/T_MCOAABPHNP.html"
"PMSI";"T_MCOAAC";"MCO Chaînage";"Kwikly/PMSI/T_MCOAAC.html"
"PMSI";"T_MCOAACES";"";"Kwikly/PMSI/T_MCOAACES.html"
"PMSI";"T_MCOAACSTC";"MCO Chaînage des RSFA pour l'activité externe des établissements ex DGF";"Kwikly/PMSI/T_MCOAACSTC.html"
"PMSI";"T_MCOAAD";"MCO Diagnostics Associés";"Kwikly/PMSI/T_MCOAAD.html"
"PMSI";"T_MCOAADIALP";"MCO Forfaits de dialyses péritonéales";"Kwikly/PMSI/T_MCOAADIALP.html"
"PMSI";"T_MCOAADMIP";"MCO DMI";"Kwikly/PMSI/T_MCOAADMIP.html"
"PMSI";"T_MCOAAE";"MCO Etablissements du Champ PMSI";"Kwikly/PMSI/T_MCOAAE.html"
"PMSI";"T_MCOAAFA";"MCO Début de Facture des Etablissements ex OQN";"Kwikly/PMSI/T_MCOAAFA.html"
"PMSI";"T_MCOAAFASTC";"MCO RSFA début de facture pour l'activité externe des Etablissements ex DGF";"Kwikly/PMSI/T_MCOAAFASTC.html"
"PMSI";"T_MCOAAFB";"MCO Prestations Hospitalières RSFA facture des établissements ex OQN";"Kwikly/PMSI/T_MCOAAFB.html"
"PMSI";"T_MCOAAFBSTC";"MCO RSFA facture pour l'activité externe des établissements ex DGF";"Kwikly/PMSI/T_MCOAAFBSTC.html"
"PMSI";"T_MCOAAFC";"MCO RSFA des honoraires des Etablissements ex OQN";"Kwikly/PMSI/T_MCOAAFC.html"
"PMSI";"T_MCOAAFCSTC";"MCO Chaînage des RSFA honoraires pour l'activité externe des étab ex DGF";"Kwikly/PMSI/T_MCOAAFCSTC.html"
"PMSI";"T_MCOAAFH";"MCO Prestations Hospitalières Médicaments en sus des établissements ex OQN";"Kwikly/PMSI/T_MCOAAFH.html"
"PMSI";"T_MCOAAFHSTC";"MCO Chaînage des RSFA médicament en sus pour l'activité externe des étab";"Kwikly/PMSI/T_MCOAAFHSTC.html"
"PMSI";"T_MCOAAFI";"MCO Interruption de Séjour des Etablissements ex OQN";"Kwikly/PMSI/T_MCOAAFI.html"
